date,state,dose,daily_vac
2021-02-25,Terengganu,1st Dose,0
2021-02-25,Kuala Lumpur,1st Dose,545
2021-02-25,Labuan,1st Dose,2
2021-02-25,Putrajaya,1st Dose,55
2021-02-25,Malaysia,1st Dose,1146
2021-02-26,Johor,1st Booster,0
2021-02-26,Kedah,1st Booster,0
2021-02-26,Kelantan,1st Booster,0
2021-02-26,Melaka,1st Booster,0
2021-02-26,Negeri Sembilan,1st Booster,0
2021-02-26,Pahang,1st Booster,0
2021-02-26,Perak,1st Booster,0
2021-02-26,Perlis,1st Booster,0
2021-02-26,Penang,1st Booster,0
2021-02-26,Sabah,1st Booster,0
2021-02-26,Sarawak,1st Booster,0
2021-02-26,Selangor,1st Booster,0
2021-02-26,Terengganu,1st Booster,0
2021-02-26,Kuala Lumpur,1st Booster,0
2021-02-26,Labuan,1st Booster,0
2021-02-26,Putrajaya,1st Booster,0
2021-02-26,Malaysia,1st Booster,0
2021-02-26,Johor,2nd Booster,0
2021-02-26,Kedah,2nd Booster,0
2021-02-26,Kelantan,2nd Booster,0
2021-02-26,Melaka,2nd Booster,0
2021-02-26,Negeri Sembilan,2nd Booster,0
2021-02-26,Pahang,2nd Booster,0
2021-02-26,Perak,2nd Booster,0
2021-02-26,Perlis,2nd Booster,0
2021-02-26,Penang,2nd Booster,0
2021-02-26,Sabah,2nd Booster,0
2021-02-26,Sarawak,2nd Booster,0
2021-02-26,Selangor,2nd Booster,0
2021-02-26,Terengganu,2nd Booster,0
2021-02-26,Kuala Lumpur,2nd Booster,0
2021-02-26,Labuan,2nd Booster,0
2021-02-26,Putrajaya,2nd Booster,0
2021-02-26,Malaysia,2nd Booster,0
2021-02-26,Johor,2nd Dose,0
2021-02-26,Kedah,2nd Dose,0
2021-02-26,Kelantan,2nd Dose,0
2021-02-26,Melaka,2nd Dose,0
2021-02-26,Negeri Sembilan,2nd Dose,0
2021-02-26,Pahang,2nd Dose,0
2021-02-26,Perak,2nd Dose,0
2021-02-26,Perlis,2nd Dose,0
2021-02-26,Penang,2nd Dose,0
2021-02-26,Sabah,2nd Dose,0
2021-02-26,Sarawak,2nd Dose,1
2021-02-26,Selangor,2nd Dose,0
2021-02-26,Terengganu,2nd Dose,0
2021-02-26,Kuala Lumpur,2nd Dose,0
2021-02-26,Labuan,2nd Dose,0
2021-02-26,Putrajaya,2nd Dose,0
2021-02-26,Malaysia,2nd Dose,1
2021-02-26,Johor,1st Dose,0
2021-02-26,Kedah,1st Dose,6
2021-02-26,Kelantan,1st Dose,0
2021-02-26,Melaka,1st Dose,259
2021-02-26,Negeri Sembilan,1st Dose,0
2021-02-26,Pahang,1st Dose,770
2021-02-26,Perak,1st Dose,564
2021-02-26,Perlis,1st Dose,156
2021-02-26,Penang,1st Dose,325
2021-02-26,Sabah,1st Dose,12
2021-02-26,Sarawak,1st Dose,1367
2021-02-26,Selangor,1st Dose,279
2021-02-26,Terengganu,1st Dose,11
2021-02-26,Kuala Lumpur,1st Dose,328
2021-02-26,Labuan,1st Dose,0
2021-02-26,Putrajaya,1st Dose,19
2021-02-26,Malaysia,1st Dose,4096
2021-02-27,Johor,1st Booster,0
2021-02-27,Kedah,1st Booster,0
2021-02-27,Kelantan,1st Booster,0
2021-02-27,Melaka,1st Booster,0
2021-02-27,Negeri Sembilan,1st Booster,0
2021-02-27,Pahang,1st Booster,0
2021-02-27,Perak,1st Booster,0
2021-02-27,Perlis,1st Booster,0
2021-02-27,Penang,1st Booster,0
2021-02-27,Sabah,1st Booster,0
2021-02-27,Sarawak,1st Booster,0
2021-02-27,Selangor,1st Booster,0
2021-02-27,Terengganu,1st Booster,0
2021-02-27,Kuala Lumpur,1st Booster,0
2021-02-27,Labuan,1st Booster,0
2021-02-27,Putrajaya,1st Booster,0
2021-02-27,Malaysia,1st Booster,0
2021-02-27,Johor,2nd Booster,0
2021-02-27,Kedah,2nd Booster,0
2021-02-27,Kelantan,2nd Booster,0
2021-02-27,Melaka,2nd Booster,0
2021-02-27,Negeri Sembilan,2nd Booster,0
2021-02-27,Pahang,2nd Booster,0
2021-02-27,Perak,2nd Booster,0
2021-02-27,Perlis,2nd Booster,0
2021-02-27,Penang,2nd Booster,0
2021-02-27,Sabah,2nd Booster,0
2021-02-27,Sarawak,2nd Booster,0
2021-02-27,Selangor,2nd Booster,0
2021-02-27,Terengganu,2nd Booster,0
2021-02-27,Kuala Lumpur,2nd Booster,0
2021-02-27,Labuan,2nd Booster,0
2021-02-27,Putrajaya,2nd Booster,0
2021-02-27,Malaysia,2nd Booster,0
2021-02-27,Johor,2nd Dose,0
2021-02-27,Kedah,2nd Dose,1
2021-02-27,Kelantan,2nd Dose,0
2021-02-27,Melaka,2nd Dose,0
2021-02-27,Negeri Sembilan,2nd Dose,1
2021-02-27,Pahang,2nd Dose,0
2021-02-27,Perak,2nd Dose,2
2021-02-27,Perlis,2nd Dose,0
2021-02-27,Penang,2nd Dose,0
2021-02-27,Sabah,2nd Dose,0
2021-02-27,Sarawak,2nd Dose,1
2021-02-27,Selangor,2nd Dose,0
2021-02-27,Terengganu,2nd Dose,0
2021-02-27,Kuala Lumpur,2nd Dose,0
2021-02-27,Labuan,2nd Dose,0
2021-02-27,Putrajaya,2nd Dose,0
2021-02-27,Malaysia,2nd Dose,5
2021-02-27,Johor,1st Dose,0
2021-02-27,Kedah,1st Dose,36
2021-02-27,Kelantan,1st Dose,0
2021-02-27,Melaka,1st Dose,16
2021-02-27,Negeri Sembilan,1st Dose,0
2021-02-27,Pahang,1st Dose,1766
2021-02-27,Perak,1st Dose,242
2021-02-27,Perlis,1st Dose,3
2021-02-27,Penang,1st Dose,6
2021-02-27,Sabah,1st Dose,570
2021-02-27,Sarawak,1st Dose,3613
2021-02-27,Selangor,1st Dose,78
2021-02-27,Terengganu,1st Dose,1
2021-02-27,Kuala Lumpur,1st Dose,224
2021-02-27,Labuan,1st Dose,134
2021-02-27,Putrajaya,1st Dose,6
2021-02-27,Malaysia,1st Dose,6695
2021-02-28,Johor,1st Booster,0
2021-02-28,Kedah,1st Booster,0
2021-02-28,Kelantan,1st Booster,0
2021-02-28,Melaka,1st Booster,0
2021-02-28,Negeri Sembilan,1st Booster,0
2021-02-28,Pahang,1st Booster,0
2021-02-28,Perak,1st Booster,0
2021-02-28,Perlis,1st Booster,0
